item_name,datetime,usda grocery prediction,continued average,simple regression
"Flour, white, all purpose, per lb. (453.6 gm)",2023-03-01,0.546,0.546,0.546
"Flour, white, all purpose, per lb. (453.6 gm)",2023-04-01,0.5623800000000001,0.5554790675736361,0.5344583616714041
"Flour, white, all purpose, per lb. (453.6 gm)",2023-05-01,0.5792514,0.5651227005723006,0.5344583616714041
"Flour, white, all purpose, per lb. (453.6 gm)",2023-06-01,0.596628942,0.5749337560047558,0.5344583616714041
"Flour, white, all purpose, per lb. (453.6 gm)",2023-07-01,0.6145278102600001,0.5849151404800919,0.5344583616714041
"Flour, white, all purpose, per lb. (453.6 gm)",2023-08-01,0.6329636445678001,0.5950698110688347,0.5344583616714041
"Flour, white, all purpose, per lb. (453.6 gm)",2023-09-01,0.6519525539048341,0.6054007761790038,0.5344583616714041
"Flour, white, all purpose, per lb. (453.6 gm)",2023-10-01,0.6715111305219792,0.6159110964473784,0.5344583616714041
"Flour, white, all purpose, per lb. (453.6 gm)",2023-11-01,0.6916564644376386,0.6266038856462373,0.5344583616714041
"Flour, white, all purpose, per lb. (453.6 gm)",2023-12-01,0.7124061583707678,0.6374823116058409,0.5344583616714041
"Flour, white, all purpose, per lb. (453.6 gm)",2024-01-01,0.7337783431218908,0.6485495971529278,0.5344583616714041
"Flour, white, all purpose, per lb. (453.6 gm)",2024-02-01,0.7557916934155475,0.6598090210655049,0.5344583616714041
"Flour, white, all purpose, per lb. (453.6 gm)",2024-03-01,0.778465444218014,0.6712639190442129,0.5344583616714041
"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-03-01,0.982,0.982,0.982
"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-04-01,1.01146,0.9898758236811371,0.9537791215802434
"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-05-01,1.0418037999999998,0.9978148129413541,0.9537791215802434
"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-06-01,1.073057914,1.0058174743804102,0.9537791215802434
"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-07-01,1.10524965142,1.0138843186610893,0.9537791215802434
"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-08-01,1.1384071409626,1.0220158605417866,0.9537791215802434
"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-09-01,1.1725593551914781,1.0302126189093557,0.9537791215802434
"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-10-01,1.2077361358472225,1.0384751168122197,0.9537791215802434
"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-11-01,1.2439682199226392,1.0468038814937488,0.9537791215802434
"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-12-01,1.2812872665203185,1.0551994444259023,0.9537791215802434
"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2024-01-01,1.319725884515928,1.063662341343145,0.9537791215802434
"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2024-02-01,1.359317661051406,1.072193112276632,0.9537791215802434
"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2024-03-01,1.400097190882948,1.0807923015886691,0.9537791215802434
"Spaghetti and macaroni, per lb. (453.6 gm)",2023-03-01,1.465,1.465,1.465
"Spaghetti and macaroni, per lb. (453.6 gm)",2023-04-01,1.50895,1.4903145280632786,1.356959841027487
"Spaghetti and macaroni, per lb. (453.6 gm)",2023-05-01,1.5542185,1.5160664795607324,1.356959841027487
"Spaghetti and macaroni, per lb. (453.6 gm)",2023-06-01,1.6008450550000002,1.542263412968675,1.356959841027487
"Spaghetti and macaroni, per lb. (453.6 gm)",2023-07-01,1.6488704066500004,1.5689130173704247,1.356959841027487
"Spaghetti and macaroni, per lb. (453.6 gm)",2023-08-01,1.6983365188495,1.5960231147131323,1.356959841027487
"Spaghetti and macaroni, per lb. (453.6 gm)",2023-09-01,1.7492866144149852,1.623601662103608,1.356959841027487
"Spaghetti and macaroni, per lb. (453.6 gm)",2023-10-01,1.8017652128474348,1.651656754143818,1.356959841027487
"Spaghetti and macaroni, per lb. (453.6 gm)",2023-11-01,1.8558181692328581,1.6801966253067377,1.356959841027487
"Spaghetti and macaroni, per lb. (453.6 gm)",2023-12-01,1.911492714309844,1.7092296523532584,1.356959841027487
"Spaghetti and macaroni, per lb. (453.6 gm)",2024-01-01,1.9688374957391392,1.738764356790859,1.356959841027487
"Spaghetti and macaroni, per lb. (453.6 gm)",2024-02-01,2.0279026206113135,1.768809407374757,1.356959841027487
"Spaghetti and macaroni, per lb. (453.6 gm)",2024-03-01,2.0887396992296527,1.7993736226522856,1.356959841027487
"Bread, white, pan, per lb. (453.6 gm)",2023-03-01,1.936,1.936,1.936
"Bread, white, pan, per lb. (453.6 gm)",2023-04-01,1.99408,1.9687524195482686,1.8240854456156046
"Bread, white, pan, per lb. (453.6 gm)",2023-05-01,2.0539023999999997,2.002058930515063,1.8240854456156046
"Bread, white, pan, per lb. (453.6 gm)",2023-06-01,2.115519472,2.0359289067818955,1.8240854456156046
"Bread, white, pan, per lb. (453.6 gm)",2023-07-01,2.17898505616,2.0703718808135942,1.8240854456156046
"Bread, white, pan, per lb. (453.6 gm)",2023-08-01,2.2443546078448002,2.1053975463411483,1.8240854456156046
"Bread, white, pan, per lb. (453.6 gm)",2023-09-01,2.311685246080144,2.1410157610899403,1.8240854456156046
"Bread, white, pan, per lb. (453.6 gm)",2023-10-01,2.3810358034625487,2.1772365495541313,1.8240854456156046
"Bread, white, pan, per lb. (453.6 gm)",2023-11-01,2.452466877566425,2.2140701058179855,1.8240854456156046
"Bread, white, pan, per lb. (453.6 gm)",2023-12-01,2.526040883893418,2.2515267964249226,1.8240854456156046
"Bread, white, pan, per lb. (453.6 gm)",2024-01-01,2.6018221104102204,2.289617163295108,1.8240854456156046
"Bread, white, pan, per lb. (453.6 gm)",2024-02-01,2.679876773722527,2.3283519266924,1.8240854456156046
"Bread, white, pan, per lb. (453.6 gm)",2024-03-01,2.760273076934203,2.3677419882414963,1.8240854456156046
"Bread, whole wheat, pan, per lb. (453.6 gm)",2023-03-01,2.533,2.533,2.533
"Bread, whole wheat, pan, per lb. (453.6 gm)",2023-04-01,2.60899,2.5718066773468875,2.3727158859884656
"Bread, whole wheat, pan, per lb. (453.6 gm)",2023-05-01,2.6872597,2.611207890108976,2.3727158859884656
"Bread, whole wheat, pan, per lb. (453.6 gm)",2023-06-01,2.767877491,2.651212746831087,2.3727158859884656
"Bread, whole wheat, pan, per lb. (453.6 gm)",2023-07-01,2.8509138157300002,2.6918304956049632,2.3727158859884656
"Bread, whole wheat, pan, per lb. (453.6 gm)",2023-08-01,2.9364412302019,2.7330705262071957,2.3727158859884656
"Bread, whole wheat, pan, per lb. (453.6 gm)",2023-09-01,3.0245344671079573,2.7749423722698925,2.3727158859884656
"Bread, whole wheat, pan, per lb. (453.6 gm)",2023-10-01,3.1152705011211963,2.8174557134846117,2.3727158859884656
"Bread, whole wheat, pan, per lb. (453.6 gm)",2023-11-01,3.2087286161548323,2.8606203778400565,2.3727158859884656
"Bread, whole wheat, pan, per lb. (453.6 gm)",2023-12-01,3.304990474639477,2.904446343894052,2.3727158859884656
"Bread, whole wheat, pan, per lb. (453.6 gm)",2024-01-01,3.4041401888786615,2.9489437430803305,2.3727158859884656
"Bread, whole wheat, pan, per lb. (453.6 gm)",2024-02-01,3.5062643945450214,2.994122862050659,2.3727158859884656
"Bread, whole wheat, pan, per lb. (453.6 gm)",2024-03-01,3.611452326381372,3.039994145052846,2.3727158859884656
"Cookies, chocolate chip, per lb. (453.6 gm)",2023-03-01,5.234,5.234,5.234
"Cookies, chocolate chip, per lb. (453.6 gm)",2023-04-01,5.39102,5.343731656258868,4.918309215381692
"Cookies, chocolate chip, per lb. (453.6 gm)",2023-05-01,5.5527505999999995,5.455763854433157,4.918309215381692
"Cookies, chocolate chip, per lb. (453.6 gm)",2023-06-01,5.719333118,5.570144825756087,4.918309215381692
"Cookies, chocolate chip, per lb. (453.6 gm)",2023-07-01,5.890913111540001,5.68692381263648,4.918309215381692
"Cookies, chocolate chip, per lb. (453.6 gm)",2023-08-01,6.0676405048862,5.806151089858222,4.918309215381692
